Status	E003	E004	E005	E006	E007	E008	E011	E012	E013	E014	E015	E016	E017	E019	E020	E021	E022	E026	E029	E032	E034	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E055	E056	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E071	E072	E073	E074	E075	E076	E078	E079	E080	E084	E085	E087	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E108	E109	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_EnhA2	-0.3177	-1.2596	-0.4223	-0.7807	-0.9524	0.2507	0.203	0.6653	-1.3592	-1.0771	0.525	-0.8982	-1.1157	-0.5398	-0.7383	0.7742	0.2692	-1.1983	-0.3798	-0.4378	0.8305	-0.842	-0.3674	0.37	-0.4432	1.5668	-0.5301	-0.2935	-0.7796	-0.8101	1.3742	-0.4424	-0.7393	-1.1306	-0.5605	-0.9133	-0.284	-0.8542	-1.2033	-0.9371	-0.6292	-1.1626	-1.1131	1.0265	-1.6541	-0.4962	-0.9465	-1.4076	0.0908	-1.1526	-0.3869	-1.2999	-1.1828	-0.1368	-0.0451	0.3107	0.023	-0.3841	1.037	1.9055	0.1801	-1.2499	0.0896	-0.8832	0.6746	-1.0464	1.6326	-1.1547	1.6179	-0.3922	1.1736	-0.2738	-1.3092	-1.2096	-0.8388	-0.6083	1.0665	-0.499	0.9312	-0.3689	-0.4051	2.7968	1.0519	0.1287	-0.6471	-0.7714	-0.4055	0.0343	-1.1064	-1.3519	-0.6241	-0.461	-0.9649	-0.5151	-0.0179	-0.8393	-1.0926	-1.1838
11_EnhWk	-1.0805	-1.5738	0.7001	0.4183	-1.0491	-0.8762	-0.0485	-1.9263	-0.339	-1.2889	-0.8157	-0.0229	-0.2395	-1.8955	-1.5989	-2.0852	-2.6096	-0.8879	-0.5098	-0.1855	0.031	-0.5905	-0.96	-0.6225	-1.4434	-0.7914	-0.5807	0.1367	-1.4072	-1.2282	-0.5259	-0.3455	-0.8794	-0.597	-0.0134	1.1617	-0.388	-0.2036	1.7218	0.5098	-0.5912	-1.7742	-0.1052	1.383	-0.7519	-1.1919	-0.8303	-0.0405	-0.9703	-1.3575	-0.9345	-0.5683	0.4652	-0.5151	-0.0556	0.223	-1.5653	-0.8484	-0.2717	-0.9483	-0.3314	-0.2121	-1.2776	-0.8417	-1.2313	-0.8244	-0.28	-1.2922	0.3984	-0.7889	-1.9003	-0.5483	1.3047	-0.6327	-1.6707	-1.1139	-0.8249	-1.0811	-1.4268	-1.2806	-0.6784	-1.3306	-0.9711	-0.7642	0.7211	-0.8182	-1.5869	-0.7038	-1.0471	-0.0483	0.8218	-0.4741	-1.7029	-1.4797	0.0938	0.0924	0.3015	-0.1573
12_ZNF/Rpts	-1.1943	-0.9888	-1.4981	-1.1461	-1.1834	-1.2796	-1.5148	-0.8015	-1.3384	-1.2265	-1.3884	-1.3786	-1.2276	-1.1766	-1.2612	-0.7316	-1.2883	-0.619	-1.6375	-1.0385	-0.6186	-0.474	-0.4469	-0.6823	-0.5254	-0.6607	-0.4735	-0.675	-0.8817	-0.4608	-0.7994	-0.69	-0.4316	-0.785	-1.2662	-1.3577	-1.0529	-1.105	-1.0913	-1.0973	-0.7167	-1.1712	-1.5841	-1.1561	-0.6093	-0.9157	-0.7016	-0.813	-0.7765	-0.6498	-0.8238	-0.6677	-0.5911	-1.0124	-1.1536	-0.8993	-1.0495	-1.3125	-1.3222	-0.9094	-1.1091	-1.1399	-1.0964	-0.9035	-0.9472	-0.9003	-1.5755	-0.6738	-1.2186	-0.3497	-0.8887	-0.5365	-0.6292	-0.441	-0.87	-0.6448	-0.9405	-0.5816	-0.5975	-0.7586	-0.6596	-1.1981	-0.7419	-0.924	-1.2219	-0.4749	-1.3339	-0.9623	-0.6954	-0.7177	-1.0167	-0.4599	-1.099	-0.633	-0.5413	-0.9967	-0.5539	-0.4466
13_Het	-1.5377	-1.4514	-1.7488	-1.4049	-1.3679	-1.5728	-1.7255	-1.1624	-1.7747	-1.6314	-1.8153	-1.8365	-1.5874	-1.5231	-1.5907	-0.9008	-1.3986	-1.0552	-2.1716	-1.452	-0.2516	-0.8583	-0.6173	-1.0177	-0.9062	-0.9779	-0.8738	-1.095	-1.5091	-0.8449	-0.949	-1.0019	-0.6602	-1.2282	-1.5823	-1.6752	-1.357	-1.2808	-1.1938	-1.4158	-1.0928	-1.5266	-1.7231	-1.5459	-1.0173	-1.4681	-1.2319	-1.334	-1.2463	-1.0803	-1.2159	-1.0759	-0.8851	-1.4949	-1.7933	-1.283	-1.3226	-1.636	-1.3508	-1.2781	-1.4203	-1.6434	-1.3788	-1.3807	-1.3549	-1.4595	-2.0139	-1.0501	-1.9451	-0.5425	-1.062	-0.8982	-1.1378	-0.7606	-1.3796	0.0583	-1.4354	-1.0243	-0.9189	-1.1618	-0.9354	-1.5457	-1.0677	-1.3094	-1.3234	-0.7379	-1.4561	-1.2541	-1.0968	-0.9712	-0.6833	-0.008	-1.4868	-1.0773	-0.9884	-1.3163	-1.1285	-0.1755
14_TssBiv	-0.6389	-0.5879	-0.536	-0.4537	-0.4549	-0.648	-0.5576	-0.7994	-0.436	-0.7259	-0.6787	-0.8018	-0.4371	-0.7768	-0.8399	-0.5677	-0.5639	-0.394	-0.476	-0.408	-0.486	-0.2391	-0.3011	-0.4972	-0.2853	-0.4805	-0.3657	-0.3824	-0.5984	-0.3862	-0.3036	-0.364	-0.3277	-0.4203	-0.5617	-0.6539	-0.7342	-0.4635	-0.6087	-0.492	-0.4744	-0.5028	-0.222	-0.2442	-0.401	-0.4322	-0.5076	-0.5044	-0.4372	-0.42	-0.3766	-0.672	-0.5136	-0.6404	-0.3917	0.8207	-0.5774	-0.5235	-0.3499	-0.6688	-0.5706	-0.4352	-0.5887	-0.5529	-0.2371	-0.4013	-0.2509	-0.2531	-0.1637	-0.3853	-0.5086	-0.4684	-0.5123	-0.4649	-0.2033	-0.3977	-0.3395	-0.6102	-0.3378	-0.621	-0.523	-0.2655	-0.4324	-0.2854	-0.4014	-0.1813	-0.69	-0.4106	-0.4236	-0.3417	-0.4734	-0.2358	-0.6247	-0.497	-0.3471	-0.5577	-0.4082	-0.4346
15_EnhBiv	-0.7823	-0.5126	-0.5131	-0.793	-0.429	-0.4849	-0.6414	0.1385	-0.3695	-0.7032	-0.714	-0.6696	-0.735	-0.8002	-0.7234	-0.546	-0.6585	-0.3623	-0.7579	-0.7495	-0.2364	-0.3944	-0.4501	-0.5529	-0.5232	-0.6545	-0.4927	-0.5412	-0.6828	-0.4583	-0.5928	-0.5725	-0.4535	-0.4883	-0.728	-0.9281	-0.8746	-0.5582	-0.8942	-0.6339	-0.4827	-0.6529	-0.1856	-0.4343	-0.2825	-0.3447	-0.4844	-0.5001	-0.3751	-0.3961	-0.3768	-0.6397	-0.4234	-0.5411	-0.5275	-1.0116	-0.6375	-0.5987	-0.162	-0.7795	-0.9862	-0.8121	-0.9747	0.134	-0.1383	-0.4864	-0.3634	-0.3215	-0.1398	-0.5655	-0.3439	-0.4297	-0.5178	-0.2781	-0.1483	-0.4145	-0.614	-0.7272	-0.5361	-0.7032	-0.4251	-0.4338	-0.368	-0.316	-0.4008	-0.1853	-0.9617	-0.4568	-0.3197	-0.4053	-0.4969	-0.3629	-0.7098	-0.5578	-0.4305	-0.5244	-0.3693	-0.4341
16_ReprPC	-0.8246	-0.8106	-0.5897	-1.0204	-0.4791	-0.744	-0.9291	-1.0901	-0.6194	-0.937	-0.9209	-1.0136	-1.4168	-1.0099	-1.0379	-0.6651	-0.5945	-1.1881	-1.0643	0.0315	-1.3996	-0.4339	-0.4951	-0.7033	-0.7022	-0.8912	-0.6897	-0.7839	-1.0428	-0.5613	-0.7467	-0.8036	-0.4989	-1.1936	-1.0402	-1.4844	-1.3874	-0.8985	-1.2721	-1.1917	-0.2469	-0.9661	-0.4333	-0.7227	-0.571	-0.5209	-0.7694	-0.7169	-0.6349	-0.6277	-0.5791	-0.8825	-0.6501	-0.8712	-0.5826	-0.9695	-1.0723	-0.8553	-0.7103	-1.4153	-0.479	-0.0693	-0.5959	-0.8751	-0.1413	-0.8112	-0.4559	-0.6251	-0.1242	-0.7078	-0.6015	-0.712	-0.7452	-0.5637	-0.3619	-0.6314	-0.7822	-1.0491	-1.0075	-0.6499	-0.7856	-0.372	-1.1335	-0.7519	-0.6405	-1.0669	-0.7404	-0.6545	-0.9258	-1.301	-1.2122	-0.6708	-1.1637	-1.0247	-1.0998	-1.1037	-1.091	-1.1846
17_ReprPCWk	1.2546	0.5526	-0.8851	-0.0752	3.0626	-0.0823	0.2404	1.6694	-0.0783	1.5722	0.4558	1.7273	1.7001	1.2584	2.098	0.4825	0.0564	0.9107	0.3012	-0.6215	1.5893	2.273	-0.8317	0.2074	0.4752	1.5673	-0.5432	0.8105	-0.1949	-0.3629	1.4891	-0.0385	-0.9385	0.789	0.0207	1.5165	0.8886	1.7134	0.0235	0.3978	0.2235	0.0194	-1.1212	1.2101	2.2388	0.8087	1.1569	1.9334	-0.2511	1.1289	-0.1616	0.3851	-0.8851	1.9429	1.5691	0.7571	3.2395	3.4532	0.7591	0.9458	-0.2026	0.6816	0.251	2.5322	0.7337	-0.5724	0.7733	1.0219	-0.5173	-0.1484	2.1164	1.468	1.159	1.112	2.2249	1.2959	1.8151	0.6545	0.5492	0.6023	0.0655	-0.6239	1.0641	3.1973	0.2118	3.7646	0.4918	-1.0643	2.0078	0.4104	-0.3928	0.3436	2.0836	1.19	1.0555	0.5696	0.4501	2.08
18_Quies	2.7991	4.2842	3.3273	1.7272	4.1066	4.2644	2.6464	3.4026	2.631	2.2342	2.1594	2.5315	2.3286	3.1424	3.4307	4.8082	5.6685	1.2491	4.258	4.7332	2.3209	4.1757	7.4932	6.7735	5.7682	4.1423	6.7594	4.1503	7.1202	6.3688	2.6171	6.9006	7.4645	2.7508	5.3885	2.559	3.5192	3.8577	3.4572	2.0415	4.462	3.4207	2.408	1.8976	3.816	3.0804	3.3584	2.1191	5.1328	6.077	2.8423	5.873	6.3811	1.9214	2.6094	2.2979	0.7733	0.8092	2.2257	2.6251	2.6869	2.5719	2.1783	3.858	3.6535	1.2608	2.2843	3.6969	0.9277	5.6284	0.4461	3.9488	2.139	5.0775	-1.2545	2.4412	-0.4065	3.8372	0.8388	4.5716	5.6179	2.8256	1.4693	1.3234	4.7548	3.4102	3.8195	4.681	1.8672	4.0562	3.2547	5.5745	3.593	2.8459	1.4399	2.3837	4.2671	-0.1237
1_TssA	0.9095	1.5666	0.5278	0.5874	0.3166	1.5314	0.5704	0.2947	0.2868	3.1083	1.552	2.3375	2.4268	1.5866	2.0735	-0.469	2.2572	2.9615	1.6711	1.0532	0.7376	0.2746	0.2933	0.4517	-0.8431	-0.1873	-0.2039	0.04	0.5273	0.0086	0.705	1.1829	0.1274	3.3133	0.3912	1.9603	0.5637	1.7719	0.8566	1.1657	-0.5991	0.1707	3.373	0.8646	1.0389	2.7778	2.1164	1.9272	1.0352	1.4727	1.1333	0.5872	1.911	1.8114	2.4388	1.4686	2.6641	2.9707	0.3342	1.1914	1.2541	0.1194	1.8387	0.9512	0.6552	0.9021	1.0251	1.6898	1.1627	-0.7555	1.4587	0.4433	1.9508	1.3729	2.0719	1.311	0.967	0.4793	0.6932	1.2954	0.9733	1.1463	2.83	1.0164	0.4834	1.2804	2.4329	1.6554	2.9085	0.9965	1.0104	1.0669	3.1802	0.9527	2.4823	2.0258	2.0609	2.8048
