ANATOMY	EDACC_NAME	EID	Status	pval	fdr	zscore	num
ESC_DERIVED	hESC_Derived_CD184+_Endoderm_Cultured_Cells	E011	8_EnhG2	0.00899100899100899	1	6.7651	2
ESC_DERIVED	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	E013	9_EnhA1	0.014985014985015	1	3.0855	6
ESC	HUES48_Cell_Line	E014	1_TssA	0.016983016983017	1	3.1083	4
STROMAL_CONNECTIVE	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	E026	1_TssA	0.026973026973027	1	2.9615	4
STROMAL_CONNECTIVE	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	E026	8_EnhG2	0.003996003996004	1	6.3179	4
STROMAL_CONNECTIVE	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	E049	1_TssA	0.018981018981019	1	3.3133	4
VASCULAR	Aorta	E065	7_EnhG1	0.032967032967033	1	3.0473	3
VASCULAR	Aorta	E065	1_TssA	0.012987012987013	1	3.373	5
BRAIN	Brain_Anterior_Caudate	E068	1_TssA	0.021978021978022	1	2.7778	5
GI_ESOPHAGUS	Esophagus	E079	1_TssA	0.034965034965035	1	2.4388	4
GI_INTESTINE	Fetal_Intestine_Large	E084	1_TssA	0.030969030969031	1	2.6641	4
GI_INTESTINE	Fetal_Intestine_Small	E085	1_TssA	0.02997002997003	1	2.9707	4
MUSCLE	Psoas_Muscle	E100	8_EnhG2	0.022977022977023	1	5.8907	1
SPLEEN	Spleen	E113	10_EnhA2	0.015984015984016	1	2.7968	8
LUNG	A549_EtOH_0.02pct_Lung_Carcinoma	E114	1_TssA	0.022977022977023	1	2.83	5
LUNG	A549_EtOH_0.02pct_Lung_Carcinoma	E114	8_EnhG2	0.000999000999000999	1	9.5649	7
MUSCLE	HSMM_Skeletal_Muscle_Myoblasts	E120	8_EnhG2	0.001998001998002	1	5.828	4
MUSCLE	HSMM_Skeletal_Muscle_Myoblasts	E120	1_TssA	0.027972027972028	1	2.9085	4
MUSCLE	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	E121	8_EnhG2	0.027972027972028	1	4.0068	2
BLOOD	Monocytes-CD14+_RO01746	E124	1_TssA	0.017982017982018	1	3.1802	4
SKIN	NHDF-Ad_Adult_Dermal_Fibroblasts	E126	1_TssA	0.044955044955045	1	2.4823	4
LUNG	NHLF_Lung_Fibroblasts	E128	9_EnhA1	0.03996003996004	1	2.2809	6
BONE	Osteoblasts	E129	1_TssA	0.024975024975025	1	2.8048	4
BONE	Osteoblasts	E129	8_EnhG2	0.000999000999000999	1	9.3952	6
