chr	id	rsid	description	level
chr1	11883731	rs12567136	Single_Nucleotides|eQTL|MTHFR, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Ips	1f
chr1	11896602	rs2075538	Single_Nucleotides|eQTL|CLCN6, Single_Nucleotides|eQTL|MTHFR, Motifs|PWM|NRSF, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Gm19239, Protein_Binding|ChIP-seq|HNF4A, Protein_Binding|ChIP-seq|HNF4A	1d
chr1	42470274	rs238675	Single_Nucleotides|eQTL|CCDC23, Protein_Binding|ChIP-seq|CEBPB	1f
chr1	42499365	rs12042133	Single_Nucleotides|eQTL|CCDC23, Chromatin_Structure|DNase-seq|Hepatocytes, Protein_Binding|ChIP-seq|HNF4A, Protein_Binding|ChIP-seq|RFX3, Protein_Binding|ChIP-seq|IKZF1	1f
chr1	42500421	rs6696291	Single_Nucleotides|eQTL|CCDC23, Motifs|PWM|Zfp105, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|DNase-seq|Hasp	1f
chr2	26251361	rs4665809	Single_Nucleotides|eQTL|HADHA, Motifs|PWM|Zfp281, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|K562, Chromatin_Structure|DNase-seq|Cmk, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Progfib	1f
chr2	26281459	rs1560868	Single_Nucleotides|eQTL|HADHA, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Hepg2, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|FOXA2, Protein_Binding|ChIP-seq|HDAC2, Protein_Binding|ChIP-seq|TCF4, Protein_Binding|ChIP-seq|ZNF263	1f
chr2	46713201	rs4953388	Single_Nucleotides|eQTL|ATP6V1E2, Single_Nucleotides|eQTL|CRIPT, Single_Nucleotides|eQTL|SOCS5, Protein_Binding|ChIP-exo|CTCF	1f
chr2	46720532	rs13001507	Single_Nucleotides|eQTL|ATP6V1E2, Single_Nucleotides|eQTL|CRIPT, Single_Nucleotides|eQTL|SOCS5, Motifs|PWM|ATF5, Motifs|Footprinting|ATF5, Motifs|Footprinting|ATF5, Motifs|Footprinting|ATF5, Motifs|Footprinting|ATF5, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Urotsa	1f
chr3	8547863	rs3774221	Single_Nucleotides|eQTL|LMCD1, Chromatin_Structure|DNase-seq|Werirb1, Protein_Binding|ChIP-seq|GATA3	1f
chr3	8548048	rs9882165	Single_Nucleotides|eQTL|LMCD1, Chromatin_Structure|DNase-seq|Hvmf, Protein_Binding|ChIP-seq|GATA3	1f
