"Ensgid"	"hgnc_symbol"	"name"	"Adipose_Subcutaneous"	"Adipose_Visceral_Omentum"	"Adrenal_Gland"	"Artery_Aorta"	"Artery_Coronary"	"Artery_Tibial"	"Brain_Amygdala"	"Brain_Anterior_cingulate_cortex_BA24"	"Brain_Caudate_basal_ganglia"	"Brain_Cerebellar_Hemisphere"	"Brain_Cerebellum"	"Brain_Cortex"	"Brain_Frontal_Cortex_BA9"	"Brain_Hippocampus"	"Brain_Hypothalamus"	"Brain_Nucleus_accumbens_basal_ganglia"	"Brain_Putamen_basal_ganglia"	"Breast_Mammary_Tissue"	"Cells_Cultured_fibroblasts"	"Cells_EBV-transformed_lymphocytes"	"Colon_Sigmoid"	"Colon_Transverse"	"Esophagus_Gastroesophageal_Junction"	"Esophagus_Mucosa"	"Esophagus_Muscularis"	"Heart_Atrial_Appendage"	"Heart_Left_Ventricle"	"Kidney_Cortex"	"Liver"	"Lung"	"Minor_Salivary_Gland"	"Muscle_Skeletal"	"Nerve_Tibial"	"Ovary"	"Pancreas"	"Pituitary"	"Prostate"	"Skin_Not_Sun_Exposed_Suprapubic"	"Skin_Sun_Exposed_Lower_leg"	"Small_Intestine_Terminal_Ileum"	"Spleen"	"Stomach"	"Testis"	"Thyroid"	"Whole_Blood"
"ENSG00000007047"	"MARK4"	"microtubule affinity regulating kinase 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.210565333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000011021"	"CLCN6"	"chloride voltage-gated channel 6"	0.354775694214876	0.370536205128205	NA	NA	NA	0.28565797810219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155968548387097	NA	NA	NA	NA	0.300749	0.347634474452555	NA	NA	NA	NA	NA	NA	NA	0.300731307692308	NA	NA	NA	NA	0.318915548387097	0.238726586538462	NA	NA	NA	NA	0.250851733333333	0.42865097080292
"ENSG00000065621"	"GSTO2"	"glutathione S-transferase omega 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.21996	-0.21256	NA	NA	NA	NA	NA	NA
"ENSG00000084733"	"RAB10"	"RAB10, member RAS oncogene family"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0839737	NA	NA	NA	NA	NA	NA
"ENSG00000084754"	"HADHA"	"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.246667286666667	NA	NA
"ENSG00000102805"	"CLN5"	"CLN5 intracellular trafficking protein"	-0.27514975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.103053576923077	-0.00127016666666666	NA	NA	NA	NA	NA	NA
"ENSG00000111275"	"ALDH2"	"aldehyde dehydrogenase 2 family member"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0988202142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0759931428571429	-0.0593607857142857	NA	NA	NA	NA	NA	NA
"ENSG00000113389"	"NPR3"	"natriuretic peptide receptor 3"	NA	NA	0.4304635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.298379888888889	NA	NA	0.433133935483871	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396179235294118	NA	NA
"ENSG00000119509"	"INVS"	"inversin"	NA	NA	0.472448403846154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.358074487179487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28856064	NA
"ENSG00000119878"	"CRIPT"	"CXXC repeat containing interactor of PDZ3 domain"	0.219784696969697	NA	NA	0.2010582	NA	0.212403787878788	NA	0.41186684	NA	0.346307	0.341223125	0.3475101875	0.333843833333333	NA	NA	NA	NA	NA	0.140761909090909	NA	NA	NA	NA	NA	0.164560913043478	NA	NA	NA	NA	NA	NA	0.139796411764706	0.175350355555556	NA	NA	0.302053416666667	NA	0.219114257575758	0.176814176470588	NA	NA	NA	0.281398	0.184061	0.114901897727273
